Company,Ticker,Net Income,Operating Income,Revenue,COGS,Equity,Debt,Current Assets,Current Liabilities,Inventory,Share Price,EPS (TTM),Shares Outstanding,Total Assets,Current Ratio,Debt to Equity,Inventory Turnover,Return on Equity (ROE),Operating Margin,P/E Ratio,Book Value per Share,Asset Turnover,Debt Ratio,Net Profit Margin
Ajanta Pharma,AJANTPHARM.NS,2027200000.0,2531700000.0,10069600000.0,3131300000.0,35671900000.0,352800000.0,27309200000.0,8957600000.0,8283600000.0,2574.9,73.6,124912000,46383900000.0,3.048718406716085,0.009890137615321863,0.3780119754696026,0.056829044710262136,0.2514201159926909,34.98505434782609,285.5762456769566,0.21709256875769395,0.007606087457070233,0.20131882100579965
Alembic Pharma,APLLTD.NS,1782100000.0,1934400000.0,14004600000.0,6649800000.0,48181900000.0,5131600000.0,30785600000.0,14550000000.0,16435400000.0,972.1,29.72,196563008,64455800000.0,2.1158487972508593,0.1065047248032975,0.404602260973265,0.03698691832410096,0.13812604429973008,32.70861372812921,245.1219102222937,0.21727447336003897,0.07961424728263398,0.12725104608485782
Glenmark,GLENMARK.NS,-12182820000.0,3706540000.0,30160060000.0,14612000000.0,78479270000.0,12309300000.0,74280820000.0,58185870000.0,25130510000.0,1420.2,-7.16,282200992,143586240000.0,1.2766126896444103,0.15684778923147477,0.5814446264719657,-0.15523615344536207,0.12289564410680881,-198.35195530726259,278.0970734504009,0.2100484001809644,0.0857275738956602,-0.403938851580534
Natco Pharma,NATCOPHARM.NS,3863000000.0,4540000000.0,10483000000.0,2885000000.0,58531000000.0,3861000000.0,40235000000.0,9728000000.0,7005000000.0,878.6,104.14,179110000,69063000000.0,4.135999177631579,0.06596504416463071,0.4118486795146324,0.06599921409167792,0.43308213297720116,8.436719800268868,326.78800736977274,0.1517889463243705,0.055905477607401936,0.3685013831918344
Granules India,GRANULES.NS,1296470000.0,2091400000.0,11595720000.0,5741550000.0,32255440000.0,13150640000.0,29050480000.0,20822930000.0,13005450000.0,517.95,19.77,242544000,55209820000.0,1.395119706976876,0.4077030107169519,0.4414726134043805,0.0401938401708363,0.18035964993980538,26.198786039453722,132.98799393099807,0.21003002726688838,0.23819385754200972,0.11180590769697785
Strides Pharma,STAR.NS,181750000.0,1393550000.0,9239320000.0,5009000000.0,21255630000.0,25168650000.0,29724910000.0,28792590000.0,11262400000.0,731.65,37.32,92162704,58397550000.0,1.0323805534687918,1.1840933437399879,0.44475422645262114,0.008550675750377665,0.15082819947788365,19.60476956055734,230.63157955955805,0.15821417165617394,0.43098811508359514,0.01967136109583822
Indoco Remedies,INDOCO.NS,226901000.0,130609000.0,4390755000.0,1637850000.0,11099001000.0,6719533000.0,9546683000.0,6123286000.0,3530635000.0,243.61,-1.6,92161296,21447285000.0,1.5590784098603265,0.6054178209372176,0.463896721128069,0.020443371434960677,0.02974636480514171,-152.25625,120.43017494024824,0.20472311530340553,0.3133045977614416,0.051676989492695447
Sequent Scientific,SEQUENT.NS,-9110000.0,471020000.0,3577660000.0,2479020000.0,6565600000.0,4876930000.0,8228560000.0,6269900000.0,3462320000.0,179.93,0.85,249890000,15403840000.0,1.3123909472240387,0.7428003533568904,0.7159996765174796,-0.0013875350310710369,0.1316558868086962,211.68235294117648,26.27396054263876,0.23225767081455015,0.316604820616158,-0.0025463571161038223
Shilpa Medicare,SHILPAMED.NS,245028000.0,409709000.0,2912036000.0,970785000.0,18086941000.0,9373886000.0,8768254000.0,6933482000.0,3449281000.0,783.35,9.34,97790896,30932046000.0,1.264624902754489,0.5182681803407221,0.28144561141872754,0.013547232779716593,0.14069503261635502,83.87044967880087,184.95526413828952,0.09414301271891294,0.30304771950746484,0.08414319053747962
Suven Pharma,SUVENPHAR.NS,533730000.0,618960000.0,2374231000.0,1229399000.0,20506634000.0,649964000.0,12631863000.0,1068957000.0,2311956000.0,1078.0,10.9,382567008,22540865000.0,11.816998251566714,0.031695304065991525,0.5317570922630015,0.02602718710442679,0.26069914848218223,98.89908256880733,53.60272467614353,0.10533007495497622,0.028834918269551767,0.2248012093178802
Lincoln Pharma,LINCOLN.NS,185970000.0,160346000.0,1331612000.0,752578000.0,5928359000.0,10668000.0,4467402000.0,922771000.0,771681000.0,558.65,44.59,20029700,7002904000.0,4.8412899841889265,0.0017994861647211311,0.9752449522535866,0.03136955774776797,0.1204149557078188,12.528593855124466,295.97842204326577,0.1901514000477516,0.001523368019895746,0.1396577982174988
Caplin Point,CAPLIPOINT.NS,1215900000.0,1317600000.0,4359000000.0,1965300000.0,23157100000.0,19700000.0,18929200000.0,3312800000.0,3630400000.0,2192.8,70.26,76011696,26981200000.0,5.71395798116397,0.0008507110130370383,0.5413453063023358,0.05250657465744847,0.3022711631108052,31.20979220039852,304.6517999019519,0.16155693594058085,0.0007301380220301544,0.2789401238816242
FDC,FDC.NS,462811000.0,458888000.0,4542892000.0,1814735000.0,20971690000.0,205185000.0,10664891000.0,3106230000.0,3888886000.0,466.3,16.7,162810000,24680898000.0,3.433387418188608,0.009783903919998817,0.46664648950882076,0.022068369311200004,0.10101230669802408,27.922155688622755,128.81082243105462,0.18406510168309112,0.008313514362402859,0.10187585353118674
Hester Biosciences,HESTERBIO.NS,49500000.0,179790000.0,792550000.0,358460000.0,2917930000.0,2443780000.0,2146150000.0,1057850000.0,755810000.0,1792.0,33.85,8506860,6623470000.0,2.0287847993571866,0.8375046694060515,0.4742726346568582,0.01696408070104492,0.22685004100687653,52.93943870014771,343.00905386946533,0.11965782286324238,0.368957661165522,0.062456627342123525
Marksans Pharma,MARKSANS.NS,782890000.0,937410000.0,5567990000.0,3259420000.0,20650540000.0,2440610000.0,18624920000.0,3898490000.0,6179440000.0,246.67,8.39,453164000,26809530000.0,4.777470251302427,0.11818625566207953,0.5274620353947931,0.0379113572816982,0.16835698339975466,29.40047675804529,45.56968338173377,0.20768696802965214,0.09103516548033479,0.14060549677711345
Unichem Labs,UNICHEMLAB.NS,-1293086000.0,-18048000.0,3842219000.0,1871778000.0,23624188000.0,2475142000.0,16941595000.0,7078787000.0,7046762000.0,642.0,-4.13,70405800,31693441000.0,2.39329068666708,0.10477151637973758,0.2656224234620099,-0.05473568022740083,-0.004697285605011063,-155.44794188861985,335.54320808797,0.12123073035837288,0.07809634807403841,-0.3365466674335846
Jubilant Pharmova,JUBLPHARMA.NS,-586000000.0,1746000000.0,17464000000.0,8088000000.0,54339000000.0,36640000000.0,38761000000.0,18890000000.0,12896000000.0,1074.0,52.82,158396992,115485000000.0,2.0519322392800423,0.6742855039658441,0.6271712158808933,-0.01078415134617862,0.0999770957398076,20.333207118515713,343.0557570184161,0.151223102567433,0.317270641208815,-0.033554741181859825
Orchid Pharma,ORCHPHARMA.NS,335267000.0,-897222000.0,2168002000.0,1420499000.0,11694661000.0,1351806000.0,7907501000.0,2599743000.0,2642261000.0,756.5,21.97,50719100,15538739000.0,3.0416471935879814,0.1155917217266922,0.5376073748959698,0.028668381238241964,-0.41384740419981164,34.43331816112882,230.57706071282811,0.13952238981554424,0.08699586240556585,0.15464330752462405
